"ds_codigo","ds_nome","topography","topography_color","venues","venues_color","railway","railway_color","bus","bus_color","taxi","taxi_color","parking","parking_color","final_score","final_score_color"
85,"VILA FORMOSA",0.608280588095938,"#FFEF00",0.891746031746,"#52FF00",6.39605100419934e-05,"#FF0000",0.170391061452514,"#FF5400",0.253963843462074,"#FF7D00",0.789441454125,"#A1FF00",0.452314489898595,"#FFC500"
86,"VILA GUILHERME",0.848714615188157,"#73FF00",0.886363636364,"#56FF00",0.0147289639544687,"#FF0700",0.20391061452514,"#FF6400",0.29260622794909,"#FF9000",0,"#FF0000",0.374387342996809,"#FFB000"
87,"VILA JACUI",0.668470662932593,"#FDFF00",0,"#FF0000",7.26509096326056e-06,"#FF0000",0.360335195530726,"#FFAC00",0.154420778822949,"#FF4C00",0,"#FF0000",0.197205650396205,"#FF6100"
88,"VILA LEOPOLDINA",0.926535014645116,"#38FF00",0.660662004662,"#FFFD00",0.357078083344773,"#FFAB00",0.189944134078212,"#FF5E00",0.206328533432544,"#FF6600",0,"#FF0000",0.390091295027108,"#FFB400"
89,"VILA MARIA",0.840352351438197,"#7AFF00",0.92380952381,"#3AFF00",1.18694517840671e-07,"#FF0000",0.122905027932961,"#FF3C00",0.230807809820561,"#FF7200",0,"#FF0000",0.352979138616039,"#FFAA00"
90,"VILA MARIANA",0.683417715907089,"#F2FF00",0.686384615384,"#EFFF00",0.547158224109727,"#FFDE00",0.472067039106145,"#FFCA00",0.57649638824092,"#FFE600",0.900496369803,"#4CFF00",0.644336725425147,"#FFF800"
91,"VILA MATILDE",0.628292702639684,"#FFF400",0.584,"#FFE800",0.256882241918737,"#FF7F00",0.162011173184358,"#FF5000",0.075531373394288,"#FF2500",0,"#FF0000",0.284452915189511,"#FF8C00"
92,"VILA MEDEIROS",0.825126146341577,"#85FF00",0.465476190476,"#FFC800",6.20597680148255e-06,"#FF0000",0.136871508379888,"#FF4300",0.218397134065126,"#FF6C00",0.72969636581,"#CEFF00",0.395928925174899,"#FFB500"
93,"VILA PRUDENTE",0.737086858370377,"#C9FF00",0.63492063492,"#FFF600",0.255047623240826,"#FF7E00",0.23463687150838,"#FF7400",0.171485519923239,"#FF5400",0.72929237965,"#CFFF00",0.46041164793547,"#FFC700"
94,"VILA SONIA",0.546958576091471,"#FFDE00",0.839492063492,"#7AFF00",5.57125676074812e-14,"#FF0000",0.162011173184358,"#FF5000",0.113620834817403,"#FF3800",0,"#FF0000",0.277013774597548,"#FF8900"
95,"SAO DOMINGOS",0.498067418910046,"#FFD100",1,"#00FF00",0.00162887551949598,"#FF0000",0.131284916201117,"#FF4000",0.226868364472298,"#FF7000",0,"#FF0000",0.309641595850493,"#FF9900"
96,"LAJEADO",0.586428090219898,"#FFE900",0,"#FF0000",0.0726308997614055,"#FF2300",0.187150837988827,"#FF5C00",0.122442987536175,"#FF3C00",0,"#FF0000",0.161442135917718,"#FF4F00"
